;2018;;;2019;;2020;;;
;SEXO;;;SEXO;;SEXO;;;
MUNICIPIO;Hombre;Mujer;Indete.;Hombre;Mujer;Hombre;Mujer;Indete.;TOTAL
AGUADAS;46;45;;51;40;66;43;;291
ANSERMA;95;67;;77;64;84;63;;450
ARANZAZU;25;26;;32;19;36;19;;157
BELALCAZAR;28;12;;34;21;32;20;;147
CHINCHINA;221;145;;200;136;216;116;;1034
FILADELFIA;22;17;;21;16;18;21;;115
LA DORADA;235;168;;185;156;309;211;;1264
LA MERCED;17;10;;12;7;12;9;;67
MANIZALES;1788;1611;1;1857;1752;2294;1848;3;11154
MANZANARES;47;27;;43;37;37;35;;226
MARMATO;27;9;;14;9;26;10;;95
MARQUETALIA;37;33;;33;23;39;18;;183
MARULANDA;6;5;;7;3;1;1;;23
NEIRA;65;32;;50;29;57;33;;266
NORCASIA;12;4;;11;10;13;9;;59
PACORA;42;24;;38;26;32;25;;187
PALESTINA;21;10;;25;10;24;8;;98
PENSILVANIA;33;27;;47;37;40;51;;235
RIOSUCIO;128;108;;127;114;150;120;;747
RISARALDA;18;13;;26;14;28;17;;116
SALAMINA;60;50;;67;58;56;35;;326
SAMANA;52;29;;47;23;50;36;10;247
SAN JOSE;9;7;;14;7;16;7;;60
SUPIA;64;46;;55;35;73;42;;315
VICTORIA;18;9;;20;10;18;9;;84
VILLAMARIA;72;46;1;57;54;92;67;;389
VITERBO;28;28;;35;24;25;26;;166
Total general;3216;2608;2;3185;2734;3844;2899;13;18501
